Season,Team,League,Conference,Division,Finish,Wins,Losses,Ties,Postseason results,Awards,Head coaches
1946,1946,AAFC,,Western,2nd,9,5,0,,,Buck Shaw
1947,1947,AAFC,,Western,2nd,8,4,2,,,
1948,1948,AAFC,,Western,2nd,12,2,0,,,
1949,1949,AAFC,,,2nd#,9,3,0,Won First-Round Playoffs (Yankees) 17–7,,
,,,,,,,,,Lost AAFC Championship (at Browns) 21–7,,
1950,1950,NFL,National,,5th,3,9,0,,,
1951,1951,NFL,National,,3rd,7,4,1,,,
1952,1952,NFL,National,,3rd,7,5,0,,,
1953,1953,NFL,Western,,3rd,9,3,0,,,
1954,1954,NFL,Western,,3rd,7,4,1,,,
1955,1955,NFL,Western,,5th,4,8,0,,,Red Strader
1956,1956,NFL,Western,,3rd,5,6,1,,,Frankie Albert
1957,1957,NFL,Western,,2nd+,8,4,0,Lost Western Conference Playoff (Lions) 31–27,,
1958,1958,NFL,Western,,4th,6,6,0,,,
1959,1959,NFL,Western,,4th,7,5,0,,,Red Hickey
1960,1960,NFL,Western,,3rd,7,5,0,,,
1961,1961,NFL,Western,,5th,7,6,1,,,
1962,1962,NFL,Western,,5th,6,8,0,,,
1963,1963,NFL,Western,,7th,2,12,0,,,Red Hickey (0–3)
,,,,,,,,,,,Jack Christiansen (2–9)
1964,1964,NFL,Western,,7th,4,10,0,,,Jack Christiansen
1965,1965,NFL,Western,,4th,7,6,1,,,
1966,1966,NFL,Western,,4th,6,6,2,,,
1967,1967,NFL,Western,Coastal,3rd,7,7,0,,,
1968,1968,NFL,Western,Coastal,3rd,7,6,1,,,Dick Nolan
1969,1969,NFL,Western,Coastal,4th,4,8,2,,,
1970,1970,NFL,NFC,West^,1st^,10,3,1,Won Divisional Playoffs (at Vikings) 17–14,John Brodie (MVP),
,,,,,,,,,Lost NFC Championship (Cowboys) 17–10,Bruce Taylor (DROY),
1971,1971,NFL,NFC,West^,1st^,9,5,0,Won Divisional Playoffs (Redskins) 24–20,,
,,,,,,,,,Lost NFC Championship (at Cowboys) 14–3,,
1972,1972,NFL,NFC,West^,1st^,8,5,1,Lost Divisional Playoffs (Cowboys) 30–28,,
1973,1973,NFL,NFC,West,4th,5,9,0,,,
