Season,Team,League,Conference,Division,Regular Season,,,,Post Season Results,Awards,Head coaches
,,,,,Finish,Wins,Losses,Ties,,,
Chicago Cardinals,,,,,,,,,,,
1920,1920,APFA,,,4th,6,2,2,The APFA/NFL did not hold playoff games until 1932,,Paddy Driscoll
1921,1921,APFA,,,9th,3,3,2,,,
1922,1922,NFL,,,3rd,8,3,0,,,
1923,1923,NFL,,,6th,8,4,0,,,Arnold Horween
1924,1924,NFL,,,8th,5,4,1,,,
1925,1925,NFL,,,1st,11,2,1,Named NFL Champions (1),,Norman Barry
1926,1926,NFL,,,10th,5,6,1,The APFA/NFL did not hold playoff games until 1932,,
1927,1927,NFL,,,9th,3,7,1,,,Guy Chamberlin
1928,1928,NFL,,,9th,1,5,0,,,Fred Gillies
1929,1929,NFL,,,4th,6,6,1,,,Dewey Scanlon
1930,1930,NFL,,,7th,5,6,2,,,Ernie Nevers
1931,1931,NFL,,,4th,5,4,0,,,Ernie Nevers (5–3)
,,,,,,,,,,,LeRoy Andrews (0–1)
1932,1932,NFL,,,7th,2,6,2,,,Jack Chevigny
1933,1933,NFL,,Western,5th,1,9,1,,,Paul J. Schissler
1934,1934,NFL,,Western,4th,5,6,0,,,
1935,1935,NFL,,Western,T-3rd,6,4,2,,,Milan Creighton
1936,1936,NFL,,Western,4th,3,8,1,,,
1937,1937,NFL,,Western,4th,5,5,1,,,
1938,1938,NFL,,Western,5th,2,9,0,,,
1939,1939,NFL,,Western,5th,1,10,0,,,Ernie Nevers
1940,1940,NFL,,Western,5th,2,7,2,,,Jimmy Conzelman
1941,1941,NFL,,Western,4th,3,7,1,,,
1942,1942,NFL,,Western,4th,3,8,0,,,
1943,1943,NFL,,Western,4th,0,10,0,,,Phil Handler
Card-Pitt,,,,,,,,,,,
1944,1944,NFL,,Western,5th,0,10,0,,,Phil Handler & Walt Kiesling
Chicago Cardinals,,,,,,,,,,,
1945,1945,NFL,,Western,5th,1,9,0,,,Phil Handler
1946,1946,NFL,,Western,T-3rd,6,5,0,,,Jimmy Conzelman
1947,1947,NFL,,Western,1st,9,3,0,Won NFL Championship (2) (Eagles) 28–21,Jimmy Conzelman (COY),
1948,1948,NFL,,Western,1st,11,1,0,Lost NFL Championship (at Eagles) 7–0,Pat Harder (MVP),
1949,1949,NFL,,Western,3rd,6,5,1,,,Phil Handler & Buddy Parker
1950,1950,NFL,American,,5th,5,7,0,,,Curly Lambeau
1951,1951,NFL,American,,6th,3,9,0,,,Curly Lambeau (2–8)
,,,,,,,,,,,Phil Handler & Cecil Isbell (1–1)
1952,1952,NFL,American,,T-5th,4,8,0,,,Joe Kuharich
1953,1953,NFL,Eastern,,6th,1,10,1,,,Joe Stydahar
1954,1954,NFL,Eastern,,6th,2,10,0,,,
1955,1955,NFL,Eastern,,T-4th,4,7,1,,,Ray Richards
