Season,Team,League,Conference,Division,Regular season,,,,Postseason results,Awards,Head coaches
,,,,,Finish,Wins,Losses,Ties,,,
Cleveland Rams,,,,,,,,,,,
1936,1936,AFL,,,2nd,5,2,2,[2][3][4],,Damon Wetzel
1937,1937,NFL,,West,5th,1,10,0,,,Hugo Bezdek
1938,1938,NFL,,West,4th,4,7,0,,,Hugo Bezdek (0–3)
,,,,,,,,,,,Art Lewis (4–4)
1939,1939,NFL,,West,4th,5,5,1,,Parker Hall (MVP),Dutch Clark
1940,1940,NFL,,West,4th,4,6,1,,,
1941,1941,NFL,,West,5th,2,9,0,,,
1942,1942,NFL,,West,3rd,5,6,0,,,
1943,Team suspended operations due to World War II,,,,,,,,,,
1944,1944,NFL,,West,4th,4,6,0,,,Aldo Donelli
1945,1945,NFL,,West,1st,9,1,0,Won NFL Championship (1) (Redskins) 15–14,Adam Walsh (COY),Adam Walsh
,,,,,,,,,,Bob Waterfield (MVP),
Los Angeles Rams[5],,,,,,,,,,,
1946,1946,NFL,,West,2nd,6,4,1,,,Adam Walsh
1947,1947,NFL,,West,4th,6,6,0,,,Bob Snyder
1948,1948,NFL,,West,3rd,6,5,1,,,Clark Shaughnessy
1949,1949,NFL,,West,1st,8,2,2,Lost NFL Championship (Eagles) 14–0,,
1950,1950,NFL,National,,1st,9,3,0,Won National Conference Playoff (Bears) 24–14,,Joe Stydahar
,,,,,,,,,Lost NFL Championship (at Browns) 30–28,,
1951,1951,NFL,National,,1st,8,4,0,Won NFL Championship (2) (Browns) 24–17,,
1952,1952,NFL,National,,2nd,9,3,0,Lost National Conference Playoff (at Lions) 31–21,Hamp Pool (COY),Joe Stydahar (0–1)
,,,,,,,,,,,Hamp Pool (9–2)
1953,1953,NFL,Western,,3rd,8,3,1,,,Hamp Pool
1954,1954,NFL,Western,,4th,6,5,1,,,
1955,1955,NFL,Western,,1st,8,3,1,Lost NFL Championship (Browns) 38–14,,Sid Gillman
1956,1956,NFL,Western,,T-5th,4,8,0,,,
1957,1957,NFL,Western,,4th,6,6,0,,,
1958,1958,NFL,Western,,T-2nd,8,4,0,,,
1959,1959,NFL,Western,,6th,2,10,0,,,
1960,1960,NFL,Western,,6th,4,7,1,,,Bob Waterfield
1961,1961,NFL,Western,,6th,4,10,0,,,
1962,1962,NFL,Western,,7th,1,12,1,,,Bob Waterfield (1–7)
,,,,,,,,,,,Harland Svare (0–5–1)
1963,1963,NFL,Western,,6th,5,9,0,,,Harland Svare
1964,1964,NFL,Western,,5th,5,7,2,,,
1965,1965,NFL,Western,,7th,4,10,0,,,
1966,1966,NFL,Western,,3rd,8,6,0,,,George Allen
1967,1967,NFL,Western,Coastal,1st,11,1,2,Lost Conference Playoff Game (at Packers) 28–7,George Allen (COY),
,,,,,,,,,,Deacon Jones (DPOY),
