Season,Team,League,Conference,Division,Regular season,,,,,Postseason results,Awards,Head coaches
,,,,,Finish,Wins,Losses,Ties,W %,,,
1976,1976,NFL,NFC,West,5th,2,12,0,0.143,,,Jack Patera
1977,1977,NFL,AFC,West,4th,5,9,0,0.357,,,
1978[1],1978,NFL,AFC,West,2nd,9,7,0,0.563,,Jack Patera (COY),
1979,1979,NFL,AFC,West,3rd,9,7,0,0.563,,,
1980,1980,NFL,AFC,West,5th,4,12,0,0.25,,,
1981,1981,NFL,AFC,West,5th,6,10,0,0.375,,,
1982[2],1982,NFL,AFC,,8th[3],4,5,0,0.444,,,Jack Patera (0–2)
,,,,,,,,,,,,Mike McCormack (4–3)
1983,1983,NFL,AFC,West,2nd[4],9,7,0,0.563,Won Wild Card playoffs (Broncos) 31–7,,Chuck Knox
,,,,,,,,,,Won Divisional playoffs (at Dolphins) 27–20,,
,,,,,,,,,,Lost AFC Championship (at Raiders) 30–14,,
1984,1984,NFL,AFC,West,2nd,12,4,0,0.75,Won Wild Card playoffs (Raiders) 13–7,Chuck Knox (COY),
,,,,,,,,,,Lost Divisional playoffs (at Dolphins) 31–10,Kenny Easley (DPOY),
1985,1985,NFL,AFC,West,3rd,8,8,0,0.5,,,
1986,1986,NFL,AFC,West,2nd[5],10,6,0,0.625,,,
1987[6],1987,NFL,AFC,West,2nd,9,6,0,0.6,Lost Wild Card playoffs (at Oilers) 23–20 (OT),,
1988,1988,NFL,AFC,West,1st,9,7,0,0.563,Lost Divisional playoffs (at Bengals) 21–13,Steve Largent (WP MOY),
1989,1989,NFL,AFC,West,4th,7,9,0,0.438,,,
1990,1990,NFL,AFC,West,3rd[7],9,7,0,0.563,,,
1991,1991,NFL,AFC,West,4th,7,9,0,0.438,,,
1992,1992,NFL,AFC,West,5th,2,14,0,0.125,,Cortez Kennedy (DPOY),Tom Flores
1993,1993,NFL,AFC,West,5th,6,10,0,0.375,,,
1994,1994,NFL,AFC,West,5th,6,10,0,0.375,,,
1995,1995,NFL,AFC,West,3rd,8,8,0,0.5,,,Dennis Erickson
1996,1996,NFL,AFC,West,5th,7,9,0,0.438,,,
1997,1997,NFL,AFC,West,3rd,8,8,0,0.5,,,
1998,1998,NFL,AFC,West,2nd,8,8,0,0.5,,,
1999,1999,NFL,AFC,West,1st[8],9,7,0,0.563,Lost Wild Card playoffs (Dolphins) 20–17,,Mike Holmgren
2000,2000,NFL,AFC,West,4th,6,10,0,0.375,,,
2001,2001,NFL,AFC,West,2nd,9,7,0,0.563,,,
2002,2002,NFL,NFC,West,3rd,7,9,0,0.438,,,
2003,2003,NFL,NFC,West,2nd,10,6,0,0.625,Lost Wild Card playoffs (at Packers) 33–27 (OT),,
2004,2004,NFL,NFC,West,1st,9,7,0,0.563,Lost Wild Card playoffs (Rams) 27–20,,
2005,2005,NFL,NFC,West,1st,13,3,0,0.813,Won Divisional playoffs (Redskins) 20–10,Shaun Alexander,
,,,,,,,,,,Won NFC Championship (Panthers) 34–14,"(MVP, OPOY)",
,,,,,,,,,,Lost Super Bowl XL (vs. Steelers) 21–10,,
2006,2006,NFL,NFC,West,1st,9,7,0,0.563,Won Wild Card playoffs (Cowboys) 21–20,,
,,,,,,,,,,Lost Divisional playoffs (at Bears) 27–24 (OT),,
2007,2007,NFL,NFC,West,1st,10,6,0,0.625,Won Wild Card playoffs (Redskins) 35–14,,
,,,,,,,,,,Lost Divisional playoffs (at Packers) 42–20,,
2008,2008,NFL,NFC,West,3rd,4,12,0,0.25,,,
2009,2009,NFL,NFC,West,3rd,5,11,0,0.313,,,Jim L. Mora
2010,2010,NFL,NFC,West,1st,7,9,0,0.438,Won Wild Card playoffs (Saints) 41–36,,Pete Carroll
,,,,,,,,,,Lost Divisional playoffs (at Bears) 35–24,,
2011,2011,NFL,NFC,West,3rd,7,9,0,0.438,,,
2012,2012,NFL,NFC,West,2nd,11,5,0,0.688,Won Wild Card playoffs (at Redskins) 24–14,,
,,,,,,,,,,Lost Divisional playoffs (at Falcons) 30–28,,
2013,2013,NFL,NFC,West,1st,13,3,0,0.813,Won Divisional playoffs (Saints) 23–15,Malcolm Smith (SB MVP),
,,,,,,,,,,Won NFC Championship (49ers) 23–17,,
,,,,,,,,,,Won Super Bowl XLVIII (1) (vs. Broncos) 43–8,,
2014,2014,NFL,NFC,West,1st,12,4,0,0.75,Won Divisional playoffs (Panthers) 31–17,,
,,,,,,,,,,Won NFC Championship (Packers) 28–22 (OT),,
,,,,,,,,,,Lost Super Bowl XLIX (vs. Patriots) 28–24,,
2015,2015,NFL,NFC,West,2nd,10,6,0,0.625,Won Wild Card playoffs (at Vikings) 10–9,,
,,,,,,,,,,Lost Divisional playoffs (at Panthers) 31–24,,
2016,2016,NFL,NFC,West,1st,10,5,1,0.656,Won Wild Card playoffs (Lions) 26–6,,
,,,,,,,,,,Lost Divisional playoffs (at Falcons) 36–20,,
2017,2017,NFL,NFC,West,2nd,9,7,0,0.563,,,
2018,2018,NFL,NFC,West,2nd,10,6,0,0.625,Lost Wild Card playoffs (at Cowboys) 24–22,,
2019,2019,NFL,NFC,West,2nd,11,5,0,0.688,Won Wild Card playoffs (at Eagles) 17–9,,
,,,,,,,,,,Lost Divisional playoffs (at Packers) 28–23,,
Totals,,,,Regular Season,,355,336,1,0.514,,,
10 Division Titles,,,,,,,,,,,,
3 NFC Titles,,,,Postseason,,17,17,0,0.5,,,
1 NFL Title,,,,Overall,,372,353,1,0.513,,,
